key-type,key,Chinese,Japanese,English
,,小小生活：在上海的寻物之旅,小さな生活：上海の小さな発見,Small Life: Hidden Lives in Shanghai
,,虾仔铺头工作室,Shrimp Shop Studio,Shrimp Shop Studio
,SUBTITLE,在旅途中，发现城市角落里的小小生活。,旅の途中で、街の片隅に隠れた小さな生活を見つける。,"On a journey, uncover small lives hidden in the corners of the city."
,,,舞台は中国・深セン市。この独特な雰囲気を持つ都市を探検しながら、一ひねりも二ひねりもある謎解きを楽しんでください。   ,"An interactive city discovery game inspired by Shenzhen, China. Explore this one of a kind city and unravel the playful puzzles that will require a few twists of imagination.  "
,,,,Produced by Tokyo University of the Arts
,SUBTITLE,寻找人们生活里的小小可能,暮らしの中、人々のちいさなひらめきを見つける,In search of little possibilities — and the people behind them
,CLICKANYWHERE,点击任意位置开始…,画面をクリックしてスタート…,Click anywhere to start...
,NEWGAME,新游戏,はじめから,New Game
,CONTINUTE,继续游戏,つづきから,Continue
,NEWGAMECONFIRM,已有存档，是否开始新游戏？原有进度将被清除。,セーブデータが見つかりました。新しく始めると、既存の進行状況が消去されます。,A save file already exists. Starting a new game will erase your current progress.
,LastPlayed,上次：,前回：,Last:
,SET,设定,設定,Settings
,HOWTOPLAY,游戏玩法,遊び方,How to Play
,CONTROL,操控,コントロール,Control
,SOUND,声音,サウンド,Sound
,CREDIT,制作名单,クレジット,Credit
,MSTERVOLUME,总音量,マスター音量,Master Volume
,MUSIC,音乐,音楽,Music
,SFX ,音效,効果音,SFX 
,LANGUAGE,语言,言語,Language
,RESETTODEFAULT,恢复默认,デフォルトに戻す,Reset to Default
,RESET,重置所有进度,ゲーム経過をリセット,Reset all progress
,PAUSE,暂停,ポーズ,PAUSE
,,,,
,DISPLAY,显示,ディスプレイ,Display
,DISPLAYMODE,显示模式,表示モード,Display Mode
,WINDOWED,窗口模式,ウィンドウモード,Windowed
,FULLSCREEN,全屏模式,フルスクリーンモード,Fullscreen
,BORDERLESS,无边框窗口 / 无边框全屏,ボーダーレスウィンドウ,Borderless
,RESOLUTION,分辨率,解像度,Resolution
,DISPLAYCOLOR,画面色调,画面の色調,Color Tone
,WHITE,纯白,ピュアホワイト,Pure White
,CREAM,米黄,クリーム色,Cream
,GREEN,淡绿,ペールグリーン,Pale Green
,BROWN,浅褐,ライトブラウン,Light Brown
,,,,
,DRAGMETHOD,拖拽方式,ドラッグ方法,Drag Method
,DRAGLEFT,使用左键拖拽,左クリックでドラッグ,Drag with Left Click
,DRAGRIGHT,使用右键拖拽,右クリックでドラッグ,Drag with Right Click
,,,,
,APARTMENT,回住处,宿に戻る,Back to Hostel
,BACKTOTITLE,返回主页,ホームへ戻る,Return to Home
,BACKTOMENE,路线图,ルートマップ,Route Map
,RESUME,返回,戻る,Back
,LEAVE,确定要离开游戏吗？,ゲームを終了しますか？,Are you sure you want to exit the game?
,YES,是的,はい,Yes
,NO,否,いいえ,No
,,,,
,MenuCheck,出发去下一个地方吗？,次の場所に出発する？,Ready to head to the next place?
,Go,走！,行こう！,GO！
,BagHint,看看我都捡到些什么好玩的(゜▽゜),なにかおもしろいもの拾ったかな(゜▽゜),Let’s see what fun stuff I picked up(゜▽゜)
,BookHint,记点啥吧( ´ ▽ ` )ﾉ✎,なにか書いとこ( ´ ▽ )ﾉ✎,Time to jot something down( ´ ▽ ` )ﾉ✎
,SideBarHint,摆出来看看？,出してみよっか。,"Take it out, let’s see."
,StickerBookHint,地方不一样，发生的事肯定也不一样。嗯，记下来吧，回头看应该挺有意思的。,場所が違えば、起こることも違うよな。うん、メモっとこ。あとで見返したら面白そう。,"Different place, different stuff happens, huh? Yeah, better write it down — might be fun to read later."
,WINTEXT,"谢谢你来玩这个 demo。

也许你注意到了什么细微的东西——  
一声响，一个微笑，一种奇怪的关联。

它们也许是从好奇开始的，小小的可能。 ","このデモ版を遊んでくれてありがとう。

小さな音、
ふとした笑顔、
不思議なつながり。

小さな可能性は、
いつも好奇心から始まる。","Thank you for playing this demo.

Maybe you noticed something small —  
a sound, a smile, a strange connection.

Every small possibility 
begins with curiosity."
,WINTEXT2,"旅程，其实才刚刚开始
完整版将包含：

• 100+ 个互动目标
• 20+ 个可以探索的城市地点
• 更多关于日常与相遇的小故事

在 Steam 上将 SmallLife 加入愿望单。","旅は、まだ始まったばかり。
製品版では：

・100以上のインタラクション
・20以上の場所を訪れる旅
・ささやかな人々の物語

Steamで SmallLife をウィッシュリストに追加。","The journey continues.
Full game includes:

• 100+ interactive discoveries
• 20+ locations to explore
• dozens of small lives and stories

Wishlist SmallLife on Steam."
,EXIT,退出,終了,Quit
,BACK,返回,戻る,Back
,ACHIEVE,小收获,小さな発見,Little Finds 
,FORMGOOGLE,谷歌问卷表单,グーグルシート,GoogleSheet
,FORMWQX,问卷星（中国地域用）,問巻星（中国地域用）,WenJuanXin（ForChinaRegion）
,MAKEBY,"Made by Yueqi Wu
ShrimpShopGames","Made by Yueqi Wu
ShrimpShopGames","Made by Yueqi Wu
ShrimpShopGames"
