key_type,key,avatar,zh-CN,ja,en,source_file
,global_subtitle,,在旅途中，发现城市角落里的小小生活。,旅の途中で、街の片隅に隠れた小さな生活を見つける。,"On a journey, uncover small lives hidden in the corners of the city.",Common_Global.csv
,global_subtitle_002,,寻找人们生活里的小小可能,暮らしの中、人々のちいさなひらめきを見つける,In search of little possibilities — and the people behind them,Common_Global.csv
,global_clickanywhere,,点击任意位置开始…,画面をクリックしてスタート…,Click anywhere to start...,Common_Global.csv
,global_newgame,,新游戏,はじめから,New Game,Common_Global.csv
,global_continue,,继续游戏,つづきから,Continue,Common_Global.csv
,global_newgameconfirm,,已有存档，是否开始新游戏？原有进度将被清除。,セーブデータが見つかりました。新しく始めると、既存の進行状況が消去されます。,A save file already exists. Starting a new game will erase your current progress.,Common_Global.csv
,global_last_played,,上次：,前回：,Last:,Common_Global.csv
,global_set,,设定,設定,Settings,Common_Global.csv
,global_howtoplay,,游戏玩法,遊び方,How to Play,Common_Global.csv
,global_control,,操控,コントロール,Control,Common_Global.csv
,global_sound,,声音,サウンド,Sound,Common_Global.csv
,global_credit,,制作名单,クレジット,Credit,Common_Global.csv
,global_master_volume,,总音量,マスター音量,Master Volume,Common_Global.csv
,global_music,,音乐,音楽,Music,Common_Global.csv
,global_sfx,,音效,効果音,SFX,Common_Global.csv
,global_language,,语言,言語,Language,Common_Global.csv
,global_resettodefault,,恢复默认,デフォルトに戻す,Reset to Default,Common_Global.csv
,global_reset,,重置所有进度,ゲーム経過をリセット,Reset all progress,Common_Global.csv
,global_pause,,暂停,ポーズ,PAUSE,Common_Global.csv
,global_display,,显示,ディスプレイ,Display,Common_Global.csv
,global_displaymode,,显示模式,表示モード,Display Mode,Common_Global.csv
,global_windowed,,窗口模式,ウィンドウモード,Windowed,Common_Global.csv
,global_fullscreen,,全屏模式,フルスクリーンモード,Fullscreen,Common_Global.csv
,global_borderless,,无边框窗口 / 无边框全屏,ボーダーレスウィンドウ,Borderless,Common_Global.csv
,global_resolution,,分辨率,解像度,Resolution,Common_Global.csv
,global_displaycolor,,画面色调,画面の色調,Color Tone,Common_Global.csv
,global_white,,纯白,ピュアホワイト,Pure White,Common_Global.csv
,global_cream,,米黄,クリーム色,Cream,Common_Global.csv
,global_green,,淡绿,ペールグリーン,Pale Green,Common_Global.csv
,global_brown,,浅褐,ライトブラウン,Light Brown,Common_Global.csv
,global_dragmethod,,拖拽方式,ドラッグ方法,Drag Method,Common_Global.csv
,global_dragleft,,使用左键拖拽,左クリックでドラッグ,Drag with Left Click,Common_Global.csv
,global_dragright,,使用右键拖拽,右クリックでドラッグ,Drag with Right Click,Common_Global.csv
,global_apartment,,回住处,宿に戻る,Back to Hostel,Common_Global.csv
,global_backtotitle,,返回主页,ホームへ戻る,Return to Home,Common_Global.csv
,global_back_to_menu,,路线图,ルートマップ,Route Map,Common_Global.csv
,global_resume,,返回,戻る,Back,Common_Global.csv
,global_leave,,确定要离开游戏吗？,ゲームを終了しますか？,Are you sure you want to exit the game?,Common_Global.csv
,global_yes,,是的,はい,Yes,Common_Global.csv
,global_no,,否,いいえ,No,Common_Global.csv
,global_menu_check,,出发去下一个地方吗？,次の場所に出発する？,Ready to head to the next place?,Common_Global.csv
,global_go,,走！,行こう！,GO！,Common_Global.csv
,global_bag_hint,,看看我都捡到些什么好玩的(゜▽゜),なにかおもしろいもの拾ったかな(゜▽゜),Let’s see what fun stuff I picked up(゜▽゜),Common_Global.csv
,global_book_hint,,记点啥吧( ´ ▽ ` )ﾉ✎,なにか書いとこ( ´ ▽ )ﾉ✎,Time to jot something down( ´ ▽ ` )ﾉ✎,Common_Global.csv
,global_side_bar_hint,,摆出来看看？,出してみよっか。,"Take it out, let’s see.",Common_Global.csv
,global_sticker_book_hint,,地方不一样，发生的事肯定也不一样。嗯，记下来吧，回头看应该挺有意思的。,場所が違えば、起こることも違うよな。うん、メモっとこ。あとで見返したら面白そう。,"Different place, different stuff happens, huh? Yeah, better write it down — might be fun to read later.",Common_Global.csv
,global_wintext,,"谢谢你来玩这个 demo。

也许你注意到了什么细微的东西——  
一声响，一个微笑，一种奇怪的关联。

它们也许是从好奇开始的，小小的可能。","このデモ版を遊んでくれてありがとう。

小さな音、
ふとした笑顔、
不思議なつながり。

小さな可能性は、
いつも好奇心から始まる。","Thank you for playing this demo.

Maybe you noticed something small —  
a sound, a smile, a strange connection.

Every small possibility 
begins with curiosity.",Common_Global.csv
,global_wintext2,,"旅程，其实才刚刚开始
完整版将包含：

• 100+ 个互动目标
• 20+ 个可以探索的城市地点
• 更多关于日常与相遇的小故事

在 Steam 上将 SmallLife 加入愿望单。","旅は、まだ始まったばかり。
製品版では：

・100以上のインタラクション
・20以上の場所を訪れる旅
・ささやかな人々の物語

Steamで SmallLife をウィッシュリストに追加。","The journey continues.
Full game includes:

• 100+ interactive discoveries
• 20+ locations to explore
• dozens of small lives and stories

Wishlist SmallLife on Steam.",Common_Global.csv
,global_exit,,退出,終了,Quit,Common_Global.csv
,global_back,,返回,戻る,Back,Common_Global.csv
,global_achieve,,小收获,小さな発見,Little Finds,Common_Global.csv
,global_formgoogle,,谷歌问卷表单,グーグルシート,GoogleSheet,Common_Global.csv
,global_formwqx,,问卷星（中国地域用）,問巻星（中国地域用）,WenJuanXin（ForChinaRegion）,Common_Global.csv
,global_makeby,,"Made by Yueqi Wu
ShrimpShopGames","Made by Yueqi Wu
ShrimpShopGames","Made by Yueqi Wu
ShrimpShopGames",Common_Global.csv
