key_type,key,avatar,zh-CN,ja,en,source_file
,level0_spot,,地点0  市区里的一栋老建筑,場所0　市内のとある古い建物,Spot0 An Old Building Somewhere in the City,Level0.csv
,level0_guide,,旅途的开始,旅のはじまり,The Beginning of the Journey,Level0.csv
,level0_guide_1,,"好久没出门了。
以前不忙的时候，总喜欢到处闲逛。","しばらく外に出てなかった。
前は忙しくないとき、よくぶらぶらしてたっけ。","It’s been a while since I last went out.
Back when I wasn’t so busy, I used to wander around a lot.",Level0.csv
,level0_guide_2,,"闲逛的好处是，
总会注意到点什么新鲜事。","ぶらぶらしてると、
いつも何か新しいことに気づく。","When you wander,
you always end up noticing something new.",Level0.csv
,level0_guide_3,,那个小孩，似乎对猫很感兴趣。,あの子、猫にすごく興味ありそうだ。,That kid seems really into cats.,Level0.csv
,level0_guide_4,,……,……,…,Level0.csv
,level0_guide_5,,（深呼吸）我居然真的到上海了……好像是有点冲动……算了，管他呢。,（深呼吸）本当に上海まで来ちゃったな……ちょっと衝動的だったかも……まあ、いっか。,(deep breath)I actually made it to Shanghai…Kind of a sudden decision…Whatever. Let’s go.,Level0.csv
,level0_spot_text,me,“这栋老楼，卡在十字路口。看起来在这儿很久了。”,"「この古い建物、交差点の真ん中に挟まってる。
ずっとここにあるみたいだ。」","""This old building is stuck right at the intersection.
Looks like it’s been here a long time.""",Level0.csv
,level0_goalx,,兜风大爷,サイクリングおじさん,The Biking Grandpa,Level0.csv
,level0_goalx_dialog1,i,每天雷打不动去公园下棋的大叔。,毎日公園に行って、仲間と将棋を楽しむおじさん。,"Every day, the old man goes to the park to play Chinese chess with his longtime buddies.",Level0.csv
,level0_goalx_dialog11,me,“大楼拐角是圆弧形的设计，很特别。”,「建物の角が丸いデザインで、ちょっと珍しい。」,"""The corner of the building is rounded.
That’s pretty unusual.""",Level0.csv
,level0_goalx_dialog111,me,“一整个拐角都是这家金饰店，难怪远看金碧辉煌的。”,"「曲がり角一帯が金物屋なんだ。
遠くから見ると金ぴかに見えるわけだ。」","""The whole corner is one big jewelry shop.
No wonder it looks so shiny from far away.""",Level0.csv
,level0_goalx_dialog1111,me,“神奇，当地人喜欢把衣服和被子撑到窗外很远的地方晒诶。”,"「不思議。
ここの人、服とか布団をずいぶん外まで干すんだね。」","""Funny.
People here like to hang clothes and blankets way out the windows.""",Level0.csv
,level0_goalx_dialog1_002,me,“共享单车。”,「シェアサイクル。」,“Bike share.”,Level0.csv
,level0_goalx_dialog22,,"""…兜风去。""",「……俺も飛ばしてみるか。」,“…Time to hit the road.”,Level0.csv
,level0_goalx_dialog3,me,“大爷兜风去咯。”,「おじさん、サイクリングに出発だよ。」,"""Grandpa’s off for a ride!""",Level0.csv
,level0_subgoal1,me,一片大树叶,大きな葉っぱ一枚。,A big leaf,Level0.csv
,level0_subgoal1_dialog2,me,“好大的叶子啊，捡回去做纪念吧。”,"「葉っぱ、大きいな。
記念に持って帰ろう。」","""That’s a big leaf.
I’ll take it back as a souvenir.""",Level0.csv
,level0_spot0_memo,,难得出来的短期旅途，好好记记：,めったにない短い旅。ちゃんとメモしておこう。,A rare short trip. Better jot things down.,Level0.csv
goalDescriptionKeys,level0_goal0_description,,*老楼下面，总有人出来兜一圈。,・古い建物の下って、ぶらっと一回りしに出てくる人が必ずいる。,"• Around old buildings like this, there’s always someone heading out for a little ride.",Level0.csv
goalSummaryKeys,level0_goal0_summary,,日常生活的一次脱轨,日常からの小さな逸脱,A small break from routine,Level0.csv
goalDescriptionKeys,level0_subgoal1_description,,*这么大的树叶，直接飘到马路上。,・こんな大きな葉っぱ、道までひらっと飛んでくるんだ。,• A leaf this big just drifting right onto the road.,Level0.csv
,level0_congrats,,大爷的生活，好像改变了一点点？,おじいさんの暮らし、少し変わった気がする。,Looks like Grandpa’s life has shifted a little.,Level0.csv
,level0_goal_x_album_photo,,“刚刚那个大爷过马路时拍的。”,”さっきのあのおじさん、横断歩道渡ってるときに撮ったやつだ。”,"""Took this when that old guy was crossing the street just now.""",Level0.csv
,level0_goal_x_diary_text,,我跟着大爷，一路去到了江边。他在那站了很久。,おじさんのあとをついて、川のほうまで来ちゃった。ずっと立ってたな、あの人。,Followed the old dude to the river. He just stood there for a while.,Level0.csv
,level0_control_hint1,,与物体互动,人物や物とインタラクティブ,Interact with objects,Level0.csv
,level0_control_hint2,,放大缩小,キャンバスを拡大または縮小,Zoom in and out of the canvas,Level0.csv
,level0_control_hint3,,移动画布,キャンバスを移動,Move canvas,Level0.csv
