key_type,key,avatar,zh-CN,ja,en,source_file
,intro_scene1_1,,"2021年，旅程的起点。",2021年、旅のはじまり,"2021, The Beginning of the Journey",intro.csv
,intro_scene1_2,,（深呼吸）我居然……真的要去上海了。,（深呼吸）本当に上海行くようになった……,(Deep breath) I'm actually going to Shanghai...,intro.csv
,intro_scene1_3,,是不是有点太冲动了？,ちょっと衝動的だったかも……,I guess I was being a bit impulsive...,intro.csv
,intro_scene1_4,,算了，管他呢！,まあ、いっか。,Whatever. Let’s go.,intro.csv
,intro_scene1_5,,……,……,…,intro.csv
,intro_scene1_6,,“出发～ヽ( ° ▽°)ノ”,「出発だ～ヽ( ° ▽°)ノ」,"Off we go! ヽ( ° ▽°)ノ",intro.csv
,intro_scene1_7,,“……旁边那位小哥睡得好沉啊，脖子看着都要折了，真累啊。”,「隣の人の首、なんか疲れそう。」,"The guy next to me... his neck looks so sore.",intro.csv
,intro_scene2_1,,“终于到上海了。”,「やっと上海に着いた。」,"Finally in Shanghai.",intro.csv
,intro_scene2_2,,“今天不想安排行程。”,「今日は予定を立てない。」,"Don't feel like making any plans today.",intro.csv
,intro_scene2_3,,“就这样随心所欲地走走吧，走到哪算哪。”,「行けるとこまで行こう。」,"I’ll just go wherever the road takes me.",intro.csv
