key_type,key,avatar,zh-CN,ja,en,source_file
,gameplay_howtoplay,,玩法：寻找生活里的小小可能,遊び方：日常の中の小さな可能性を探す,How To Play: Finding Small Possibilities in Everyday Life,Gameplay_UI.csv
,gameplay_howtoplay1,,"旅行途中，你需要在场景中寻找目标物件。
大多数目标需要通过两个步骤才能完成。
也有一些只需一个步骤的物件，它们是可以带回家的小东西。","旅の途中で、シーンの中にある目標物を探します。
多くの目標は2つのステップで完了します。
1ステップで完了する物件もあり、それらは持ち帰ることができます。","During your journey, you will look for target objects in the scene.
Most goals require two steps to complete.
Some items only take one step and can be collected and taken home.",Gameplay_UI.csv
,gameplay_howtoplay2,,物件找到，意味着相应的人物的状态也改变了。,物件を見つけることで、関わる人物の状態が変化します。,Completing a two-step goal may change the state of related characters or the scene.,Gameplay_UI.csv
,gameplay_howtoplay3,,点击场景中的物件和人物，可以触发互动。,シーン内の物や人物をクリックすると、インタラクションが発生します。,Click on objects and characters in the scene to trigger interactions.,Gameplay_UI.csv
,gameplay_howtoplay4,,"鼠标滚轮或双指可缩放画面。长按鼠标左键或右键可拖动画面。
按 ESC 键可暂停游戏。","マウスホイール、または2本指で画面を拡大・縮小できます。マウスの左右ボタンを長押しすると画面をドラッグできます。
ESCキーでゲームを一時停止します。","Use the mouse wheel or two fingers to zoom in and out.
Long-press the left or right mouse button to drag the view.
Press ESC to pause the game.",Gameplay_UI.csv
,gameplay_keepplay,,想继续玩,続けてみる,Want to keep going,Gameplay_UI.csv
,gameplay_continue,,继续旅程,旅を続ける,Continue the journey,Gameplay_UI.csv
,gameplay_congratulate2,,你成功改变了他们的状态。现在我们去下一个地方吧！,君は彼らの状態をうまく変えたね。さあ、次の場所へ行こう！,"You successfully changed their state. Now, let's head to the next place!",Gameplay_UI.csv
webgl用,gameplay_howtoplay4_002,,鼠标滚轮放大缩小画布，WASD移动画布,マウス ホイールを使用してキャンバスを拡大または縮小し、 WASDでキャンバスを移動します。,"Use the mouse wheel to zoom in and out of the canvas,WASD to move the canvas.",Gameplay_UI.csv
webgl用,gameplay_control_hint1,,左键点击互动,左クリックでオブジェクトとインタラクト,Left click to interact with objects,Gameplay_UI.csv
webgl用,gameplay_control_hint2,,滚轮缩放画面,マウスホイールで画面をズーム,Use the mouse wheel to zoom in and out,Gameplay_UI.csv
webgl用,gameplay_control_hint3,,右键拖动 / WASD 移动画面,右クリックのドラッグ／WASDキーで画面を移動,Right-click and drag / Use WASD to move the view,Gameplay_UI.csv
,gameplay_control_hint4,,ESC 打开暂停菜单,ESCキーでポーズメニューを開く,Press ESC to open the pause menu,Gameplay_UI.csv
手机📱弹窗,gameplay_phone_album_hint,,看看拍的照片。,撮った写真、見よっかな,Hmm… check out the photos,Gameplay_UI.csv
